GP,Year,Laps
Australian Grand Prix,2019,58
Bahrain Grand Prix,2019,57
Chinese Grand Prix,2019,56
Azerbaijan Grand Prix,2019,51
Spanish Grand Prix,2019,66
Monaco Grand Prix,2019,78
Canadian Grand Prix,2019,70
French Grand Prix,2019,53
Austrian Grand Prix,2019,71
British Grand Prix,2019,52
Hungarian Grand Prix,2019,70
Belgian Grand Prix,2019,44
Italian Grand Prix,2019,53
Singapore Grand Prix,2019,61
Russian Grand Prix,2019,53
Japanese Grand Prix,2019,53
Mexican Grand Prix,2019,71
United States Grand Prix,2019,56
Brazilian Grand Prix,2019,71
Abu Dhabi Grand Prix,2019,55
Austrian Grand Prix,2020,68
Styrian Grand Prix,2020,71
British Grand Prix,2020,52
70th Anniversary Grand Prix,2020,52
Spanish Grand Prix,2020,66
Belgian Grand Prix,2020,44
Italian Grand Prix,2020,53
Tuscan Grand Prix,2020,59
Russian Grand Prix,2020,53
Eifel Grand Prix,2020,60
Portuguese Grand Prix,2020,66
Emilia Romagna Grand Prix,2020,63
Bahrain Grand Prix,2020,57
Sakhir Grand Prix,2020,87
Abu Dhabi Grand Prix,2020,55
Bahrain Grand Prix,2021,56
Portuguese Grand Prix,2021,66
Spanish Grand Prix,2021,66
Monaco Grand Prix,2021,78
Azerbaijan Grand Prix,2021,51
French Grand Prix,2021,53
Styrian Grand Prix,2021,71
Austrian Grand Prix,2021,71
British Grand Prix,2021,52
Belgian Grand Prix,2021,3
Dutch Grand Prix,2021,72
Italian Grand Prix,2021,53
United States Grand Prix,2021,56
