deg_scale,mae,bias,rmse,n_valid
1.0,28.689655172413794,27.126436781609197,30.061240176006383,87
1.5,14.781609195402298,8.0,18.375395843730633,87
2.0,8.988505747126437,-1.5862068965517242,11.453052597150833,87
2.5,7.804597701149425,-3.160919540229885,10.112584625905088,87
3.0,6.9655172413793105,-4.436781609195402,8.821342979049335,87
3.5,6.862068965517241,-5.0,8.529192601693412,87
4.0,6.862068965517241,-5.0,8.529192601693412,87
4.5,6.816091954022989,-4.7701149425287355,8.53996689002707,87
5.0,6.862068965517241,-5.0,8.529192601693412,87
4.1,6.862068965517241,-5.0,8.529192601693412,87
4.2,6.862068965517241,-5.0,8.529192601693412,87
4.3,6.816091954022989,-4.7701149425287355,8.53996689002707,87
4.4,6.816091954022989,-4.7701149425287355,8.53996689002707,87
4.6,6.816091954022989,-4.7701149425287355,8.53996689002707,87
4.7,6.816091954022989,-4.7701149425287355,8.53996689002707,87
4.8,6.862068965517241,-5.0,8.529192601693412,87
4.9,6.862068965517241,-5.0,8.529192601693412,87
